"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"00881","國泰台灣5G+","市","05/02","","14.85","+0.06","+0.41","4,940","73.3","14.79","14.79","14.9","14.76","0.95","","","    ","    ","    ","    "
"00882","中信中國高股息","市","05/02","","12.32","+0.02","+0.16","11,719","144","12.3","12.28","12.4","12.22","1.46","","","    ","    ","    ","    "
"00883B","中信ESG投資級債","櫃","05/02","","31.54","-0.14","-0.44","222","7","31.68","31.54","31.57","31.54","0.09","","","    ","    ","    ","    "
"00884B","中信低碳新興債","櫃","05/02","","30.41","-0.24","-0.78","208","6.34","30.65","30.54","30.54","30.41","0.42","","","    ","    ","    ","    "
"00885","富邦越南","市","05/02","","11.33","+0.08","+0.71","7,852","88.8","11.25","11.28","11.33","11.28","0.44","","","    ","    ","    ","    "
"00886","永豐美國科技","櫃","05/02","","20.46","+0.18","+0.89","205","4.18","20.28","20.36","20.46","20.36","0.49","","","    ","    ","    ","    "
"00887","永豐中國科技50大","櫃","05/02","","14.67","-0.01","-0.07","193","2.83","14.68","14.68","14.79","14.61","1.23","","","    ","    ","    ","    "
"00888","永豐台灣ESG","櫃","05/02","","13.22","+0.1","+0.76","2,941","38.8","13.12","13.17","13.22","13.12","0.76","","","    ","    ","    ","    "
"00890B","凱基ESGBBB債15+","櫃","05/02","","33.17","-0.27","-0.81","212","7.04","33.44","33.18","33.22","33.15","0.21","","","    ","    ","    ","    "
"00891","中信關鍵半導體","市","05/02","","12.57","+0.09","+0.72","6,269","78.7","12.48","12.49","12.62","12.41","1.68","","","    ","    ","    ","    "
"00892","富邦台灣半導體","市","05/02","","11.61","+0.14","+1.22","3,458","40.1","11.47","11.5","11.65","11.43","1.92","","","    ","    ","    ","    "
"00893","國泰智能電動車","市","05/02","","13.7","+0.22","+1.63","8,288","113","13.48","13.64","13.71","13.64","0.52","","","    ","    ","    ","    "
"00894","中信小資高價30","市","05/02","","13.37","+0.14","+1.06","933","12.5","13.23","13.2","13.41","13.2","1.59","","","    ","    ","    ","    "
"00895","富邦未來車","市","05/02","","14.62","+0.31","+2.17","4,098","59.7","14.31","14.53","14.62","14.51","0.77","","","    ","    ","    ","    "
"00896","中信綠能及電動車","市","05/02","","14.59","+0.19","+1.32","1,438","20.9","14.4","14.41","14.6","14.41","1.32","","","    ","    ","    ","    "
